case_id,cnn_pose_score,top_pose_rmsd_a,best_pose_rmsd_a,redock_pass
CRP_SP1_4R8H,0.9896220565,0.366,0.366,PASS
CRP_CMP_1I5Z,0.9925143123,0.288,0.288,PASS
CRP_CMP_1G6N,0.9865751863,0.301,0.301,PASS
CRP_CMP_2CGP,0.9740728140,0.281,0.281,PASS
TAR_ASP_2LIG,0.9833085537,0.797,0.354,PASS
TAR_ASP_1VLT,0.9548810124,3.009,1.627,FAIL
LAOBP_LYS_1LST,0.9946628809,0.746,0.746,PASS
LBP_PHE_1USI,0.9794340134,0.428,0.404,PASS
LBP_LEU_1USK,0.9897823334,0.799,0.463,PASS
GGBP_GLC_2FVY,0.9579412937,0.694,0.694,PASS
MBP_GLC_1ANF,0.9746162295,5.124,3.464,FAIL
MBP_GLC_3MBP,0.9293613434,5.003,0.626,FAIL
RBSB_RIB_3KSM,0.8943350911,12.778,1.572,FAIL
GGBP_GLC_2B3B,0.9955810905,0.155,0.155,PASS
RBSB_RIB_1DBP,0.9959960580,0.305,0.305,PASS
RBSB_RIB_1DRJ,0.9951133728,0.154,0.154,PASS
